AltCode|Character
Alt+0161|¡
Alt+0162|¢
Alt+0163|£
Alt+0164|¤
Alt+0165|¥
Alt+0167|§
Alt+0168|¨
Alt+0169|©
Alt+0170|ª
Alt+0171|«
Alt+0174|®
Alt+0177|±
Alt+0179|³
Alt+0180|´
Alt+0182|¶
Alt+0183|·
Alt+0184|¸
Alt+0186|º
Alt+0187|»
Alt+0188|¼
Alt+0189|½
Alt+0190|¾
Alt+0191|¿
Alt+0192|À
Alt+0193|Á
Alt+0195|Ã
Alt+0196|Ä
Alt+0197|Å
Alt+0198|Æ
Alt+0199|Ç
Alt+0200|È
Alt+0201|É
Alt+0202|Ê
Alt+0203|Ë
Alt+0204|Ì
Alt+0205|Í
Alt+0206|Î
Alt+0207|Ï
Alt+0209|Ñ
Alt+0210|Ò
Alt+0211|Ó
Alt+0212|Ô
Alt+0214|Ö
Alt+0216|Ø
Alt+0217|Ù
Alt+0218|Ú
Alt+0219|Û
Alt+0220|Ü
Alt+0221|Ý
Alt+0222|Þ
Alt+0223|ß
Alt+0224|à
Alt+0225|á
Alt+0226|â
Alt+0227|ã
Alt+0228|ä
Alt+0229|å
Alt+0230|æ
Alt+0231|ç
Alt+0232|è
Alt+0233|é
Alt+0234|ê
Alt+0235|ë
Alt+0236|ì
Alt+0237|í
Alt+0238|î
Alt+0239|ï
Alt+0240|ð
Alt+0241|ñ
Alt+0243|ó
Alt+0244|ô
Alt+0245|õ
Alt+0246|ö
Alt+0247|÷
Alt+0248|ø
Alt+0249|ù
Alt+0338|Œ
Alt+0352|Š
Alt+0376|Ÿ
Alt+0402|ƒ
Alt+0710|ˆ
Alt+0732|˜
Alt+8208|‐
Alt+8211|–
Alt+8212|—
Alt+8216|‘
Alt+8217|’
Alt+8218|‚
Alt+8220|“
Alt+8221|”
Alt+8222|„
Alt+8224|†
Alt+8225|‡
Alt+8230|…
Alt+8240|‰
Alt+8249|‹
Alt+8250|›
Alt+8482|™
Alt+8729|∙
