AltCode|Character|Hindi
Alt+0161|¡|ँ
Alt+0165|¥|ञ
Alt+0171|«|त्र्
Alt+0179|³|ङ
Alt+0182|¶|फ्
Alt+0183|·|ऽ
Alt+0184|¸|य्
Alt+0186|º|ह्
Alt+0188|¼|(
Alt+0189|½|)
Alt+0190|¾|=
Alt+0191|¿|{
Alt+0192|À|}
Alt+0197|Å|ऊ
Alt+0216|Ø|क्र
Alt+0217|Ù|त्त्
Alt+0219|Û|x
Alt+0221|Ý|फ्र
Alt+0222|Þ|“
Alt+0223|ß|”
Alt+0224|à|ह्न
Alt+0225|á|ह्य
Alt+0226|â|हृ
Alt+0227|ã|ह्म
Alt+0229|å|०
Alt+0230|æ|द्र
Alt+0231|ç|प्र
Alt+0234|ê|ट्ट
Alt+0235|ë|ट्ठ
Alt+0236|ì|ड्ड
Alt+0237|í|द्द
Alt+0239|ï|ड्ढ
Alt+0244|ô|क्क
Alt+0247|÷|झ्
Alt+0338|Œ|॰
Alt+0352|Š|८
Alt+0402|ƒ|१
Alt+0710|ˆ|६
Alt+8211|–|दृ
Alt+8212|—|कृ
Alt+8218|‚|ॉ
Alt+8222|„|२
Alt+8224|†|४
Alt+8225|‡|५
Alt+8230|…|३
Alt+8240|‰|७
Alt+8249|‹|९
